Number,Title,Genre
1,String of Pearls,Swing
3,Besame Mucho (rumba),Latin
5,Birdland,Rock
6,Brasilia,Latin
7,East Of The Sun,NA
8,Witchcraft,Swing
9,Soul Man,Rock
10,Born To Be Wild,Rock
11,A Foggy Day in London Town,Swing
12,Sincerely,Swing
13,Cherry Pink & Apple Bloss. White,Cha Cha Cha
14,Moon Glow,Swing
15,Mood Indigo,Ballad
16,Copa Cabana,Latin
17,Stardust,Ballad
18,Does Anybody R Know What Time,Rock
19,Almost Like Being In Love,Swing
20,Dream,Ballad
21,Girl From Ipanema,Latin
22,Where Or When  (Samba),Latin
23,MacArthur Park,Swing
24,TSOP,NA
25,Eli's Comin,NA
26,"Grazin"" In The Grass",ENDING
27,Georgia On My Mind,Ballad
28,Canadian Sunset,Swing
29,Serpentine Fire,Rock
30,"Here, There & Everywhere",NA
31,Hey Jude,Pop
32,I Got You,Rock
33,I Can't Get Started,Swing
34,I'm Beginning to see the Light,Swing
35,In The Mood,Swing
36,Wonderland by Night,Ballad
37,Watermelon Man,Rock
38,How Sweet It Is,Pop
40,Don't Mean a Thing,Swing
41,Get Ready,NA
42,Street Life,Rock
43,Quintessence (New Version),Swing
44,Mustang Sally,Song
45,Ja-Da,Swing
47,Cha Cha for Judy,Cha Cha Cha
48,At Last,Song
49,Moon Light in Vermont,Swing
50,Jumping at the Woodside,Swing
51,Just a Gigolo / Ain't Got Nobody,Swing
52,Kansas City,Rock
53,Night and Day,Swing
54,Killer Joe,Rock
55,Little Brown Jug,Swing
56,America the Beautiful,NA
57,For Once in My Life,Swing
58,Pink Panther,Swing
59,Mr. Lucky,NA
60,Song For My Father,Latin
61,Peter Gunn,Rock
62,Pennsylvania 6-5000,Swing
63,Amor  (rumba),Latin
64,That Old Black Magic,Swing
65,Misty,Ballad
66,Tenderly  (Samba),Latin
67,Sweet Georgia Brown,Ballad
68,Don't Get Around Much Anymore,Swing
69,Fly Me Too The Moon,Swing
70,Moten Swing,Swing
71,"New York, NY",Swing
72,My Cherie Amour,Ballad
73,Taking a chance on love,Swing
74,Tonight   (rumba),Latin
75,My Funny Valentine,Ballad
76,I've Got You Under My Skin,Swing
77,Leap Frog,Swing
78,Nice and Easy,Swing
79,How High The Moon,Swing
80,Queen Bee,Swing
81,It Had To Be You,Swing
82,Moon River   (Waltz),Waltz